
"0:0:56:100
0:0:56:466
"一個人並不是天生就要被打敗的,你盡可以消滅他,卻打不敗他。”這句話出自於
海明威的老人與海。這句話是這本書的精苹,值得人深入思考。上
“一個人並不是天生就要被打敗的,你盡可以消滅他,卻打不敗他。”這句話出自於
海明威的老人與海。這句話這本書的精苹,值得人深入思考。。
0:0:56:833
0:0:57:199
“一個人並不是天生就要被打敗的,你盡可以肖滅他,卻打不敗他。”這句話出自於
海明威的老人與海。這句話是這本書的精苹,值得人深入思考。。
“一個人並不是天生就要被打敗的,你盡可以消滅他,卻打不敗他。“這句話出自於
"人"bounds: (951,51),(963,51),(963,64),(951,64)
"深入"bounds: (965,51),(991,51),(991,64),(965,64)
"思考"bounds: (993,51),(1026,51),(1026,64),(993,64)
"。。"bounds: (1028,51),(1037,51),(1037,64),(1028,64)
"0:0:56:833"bounds: (101,337),(234,336),(234,350),(101,351)
"0:0:57:199"bounds: (701,336),(833,335),(833,350),(701,351)
"“"bounds: (68,365),(71,365),(71,367),(68,367)
"一個"bounds: (73,364),(88,364),(88,373),(73,373)
"人"bounds: (90,364),(111,364),(111,373),(90,373)
"並不是"bounds: (113,361),(148,361),(148,374),(113,374)
"天生"bounds: (139,364),(177,364),(177,373),(139,373)
"就要"bounds: (179,361),(208,361),(208,374),(179,374)
"被"bounds: (210,361),(220,361),(220,374),(210,374)
"打敗"bounds: (219,364),(230,364),(230,373),(219,373)
"的"bounds: (243,361),(257,361),(257,374),(243,374)
","bounds: (259,361),(262,361),(262,374),(259,374)
"你"bounds: (262,364),(273,364),(273,373),(262,373)
"盡"bounds: (275,361),(290,361),(290,374),(275,374)
"可以"bounds: (292,361),(313,361),(313,374),(292,374)
"肖"bounds: (315,361),(325,361),(325,374),(315,374)
"滅"bounds: (327,361),(344,361),(344,374),(327,374)
"他"bounds: (346,361),(355,361),(355,374),(346,374)
","bounds: (357,361),(358,361),(358,374),(357,374)
"卻"bounds: (360,361),(372,361),(372,374),(360,374)
"打"bounds: (374,361),(383,361),(383,374),(374,374)
"不敗"bounds: (385,365),(396,365),(396,373),(385,373)
"他"bounds: (398,364),(423,364),(423,373),(398,373)
"。"bounds: (428,367),(431,367),(431,370),(428,370)
"”"bounds: (438,365),(441,365),(441,367),(438,367)
"這"bounds: (443,365),(455,365),(455,373),(443,373)
"句話"bounds: (457,364),(482,364),(482,373),(457,373)
"出自"bounds: (484,364),(507,364),(507,373),(484,373)
"於"bounds: (510,364),(522,364),(522,373),(510,373)
"海明威"bounds: (64,375),(107,375),(107,390),(64,390)
"的"bounds: (109,375),(117,375),(117,390),(109,390)
"老人與海"bounds: (121,379),(180,379),(180,388),(121,388)
"。"bounds: (182,375),(184,375),(184,390),(182,390)
"這"bounds: (186,375),(203,375),(203,390),(186,390)
"句話"bounds: (213,379),(225,379),(225,388),(213,388)
"是"bounds: (227,379),(238,379),(238,388),(227,388)
"這"bounds: (240,375),(256,375),(256,390),(240,390)
"本書"bounds: (258,375),(280,375),(280,390),(258,390)
"的"bounds: (282,375),(291,375),(291,390),(282,390)
"精"bounds: (293,375),(309,375),(309,390),(293,390)
"苹"bounds: (311,375),(323,375),(323,390),(311,390)
","bounds: (325,375),(325,375),(325,390),(325,390)
"值得"bounds: (327,375),(352,375),(352,390),(327,390)
"人"bounds: (354,375),(357,375),(357,390),(354,390)
"深入"bounds: (363,379),(388,379),(388,388),(363,388)
"思考"bounds: (390,379),(422,379),(422,388),(390,388)
"。。"bounds: (424,375),(435,375),(435,390),(424,390)
"“"bounds: (659,361),(674,361),(674,375),(659,375)
"一個"bounds: (676,361),(699,361),(699,375),(676,375)
"人"bounds: (701,361),(712,361),(712,375),(701,375)
"並不是"bounds: (714,361),(752,361),(752,375),(714,375)
"天生"bounds: (754,361),(779,361),(779,375),(754,375)
"就要"bounds: (781,361),(809,361),(809,375),(781,375)
"被"bounds: (811,361),(819,361),(819,375),(811,375)
"打敗"bounds: (821,361),(844,361),(844,375),(821,375)
"的"bounds: (846,361),(857,361),(857,375),(846,375)
","bounds: (859,361),(862,361),(862,375),(859,375)
"你"bounds: (864,361),(874,361),(874,375),(864,375)
"盡"bounds: (876,361),(892,361),(892,375),(876,375)
"可以"bounds: (894,361),(917,361),(917,375),(894,375)
"消滅"bounds: (919,361),(937,361),(937,375),(919,375)
"他"bounds: (939,361),(954,361),(954,375),(939,375)
","bounds: (956,361),(957,361),(957,375),(956,375)
"卻"bounds: (959,361),(972,361),(972,375),(959,375)
"打"bounds: (974,361),(982,361),(982,375),(974,375)
"不敗"bounds: (984,361),(1014,361),(1014,375),(984,375)
"他"bounds: (1016,361),(1027,361),(1027,375),(1016,375)
"。"bounds: (1029,361),(1032,361),(1032,375),(1029,375)
"“"bounds: (1034,361),(1044,361),(1044,375),(1034,375)
"這"bounds: (1046,361),(1059,361),(1059,375),(1046,375)
"句話"bounds: (1061,361),(1084,361),(1084,375),(1061,375)
"出自"bounds: (1086,361),(1112,361),(1112,375),(1086,375)
"於"bounds: (1114,361),(1122,361),(1122,375),(1114,375)
"海明威"bounds: (666,376),(707,376),(707,389),(666,389)
"的"bounds: (709,376),(719,376),(719,389),(709,389)
"老人與海"bounds: (721,376),(782,376),(782,389),(721,389)
"。"bounds: (784,376),(784,376),(784,389),(784,389)
"這"bounds: (786,376),(803,376),(803,389),(786,389)
"句話"bounds: (805,376),(826,376),(826,389),(805,389)
"是"bounds: (828,376),(833,376),(833,389),(828,389)
"這"bounds: (835,376),(854,376),(854,389),(835,389)
"本書"bounds: (856,376),(880,376),(880,389),(856,389)
"的"bounds: (882,376),(889,376),(889,389),(882,389)
"精"bounds: (891,376),(908,376),(908,389),(891,389)
"苹"bounds: (910,376),(915,376),(915,389),(910,389)
","bounds: (917,376),(922,376),(922,389),(917,389)
"值得"bounds: (924,376),(950,376),(950,389),(924,389)
"人"bounds: (952,376),(964,376),(964,389),(952,389)
"深入"bounds: (966,376),(989,376),(989,389),(966,389)
"思考"bounds: (991,376),(1024,376),(1024,389),(991,389)
"。。"bounds: (1026,376),(1036,376),(1036,389),(1026,389)
