
"0:1:43:33
0:1:43:399
"一個人並不是天生就要被打敗的,你盡可以消滅他,卻打不敗他。”這句話出自於
海明威的老人與海。這句話是這本書的精苹,值得人深入思考。…
本書講述了老人聖地牙哥經過數次與沙魚搏鬥及他捕魚的經驗讓他捕獲了一條
鯊魚,再老人回來的時候鯊魚肉
“一個人並不是天生就要被打敗的,你盡可以消滅他,卻打不敗他。“這句話出自於
海明威的老人與海。這句話是這本書的精苹,值得人深入思考。e
本書講述了老人聖地牙哥經過數次與沙魚搏門及他捕魚的經驗讓他捕獲了一條
鯊魚,再老人回來的時候,鯊魚肉ト
0:1:43:766
0:1:44:133
“一個人並不是天生就要被打敗的,你盡可以消滅他,卻打不敗他。”這句話出自於
海明威的老人與海。這句話是這本書的精苹,值得人深入思考。。
本書講述了老人聖地牙哥經過數次與沙魚搏鬥及他捕魚的經驗讓他捕獲了一條
鯊魚再老人回來的時候,鯊魚肉被-
一個人並不是天生就要被打敗的,你盡可以消滅他,卻打不敗他。”這句話出自於
海明威的老人與海。這句話是這本書的精苹,值得人深入思考。e
本書講述了老人聖地牙哥經過過數次與沙魚搏門及他捕魚的經驗讓他捕獲了一條
"句話"bounds: (457,364),(482,364),(482,373),(457,373)
"出自"bounds: (484,364),(507,364),(507,373),(484,373)
"於"bounds: (510,364),(522,364),(522,373),(510,373)
"海明威"bounds: (64,376),(108,376),(108,389),(64,389)
"的"bounds: (110,376),(117,376),(117,389),(110,389)
"老人與海"bounds: (121,379),(172,379),(172,388),(121,388)
"。"bounds: (177,382),(180,382),(180,385),(177,385)
"這"bounds: (182,376),(201,376),(201,389),(182,389)
"句話"bounds: (203,376),(227,376),(227,389),(203,389)
"是"bounds: (229,376),(234,376),(234,389),(229,389)
"這"bounds: (236,376),(253,376),(253,389),(236,389)
"本書"bounds: (255,376),(281,376),(281,389),(255,389)
"的"bounds: (283,376),(290,376),(290,389),(283,389)
"精"bounds: (292,376),(306,376),(306,389),(292,389)
"苹"bounds: (308,376),(318,376),(318,389),(308,389)
","bounds: (320,376),(320,376),(320,389),(320,389)
"值得"bounds: (322,376),(348,376),(348,389),(322,389)
"人"bounds: (350,376),(362,376),(362,389),(350,389)
"深入"bounds: (363,379),(388,379),(388,388),(363,388)
"思考"bounds: (390,376),(414,376),(414,389),(390,389)
"。。"bounds: (420,381),(435,381),(435,385),(420,385)
"本書"bounds: (66,390),(96,390),(96,405),(66,405)
"講述"bounds: (98,390),(120,390),(120,405),(98,405)
"了"bounds: (122,390),(133,390),(133,405),(122,405)
"老人"bounds: (135,390),(160,390),(160,405),(135,405)
"聖地牙哥"bounds: (162,390),(216,390),(216,405),(162,405)
"經過"bounds: (218,390),(240,390),(240,405),(218,405)
"數次"bounds: (242,390),(261,390),(261,405),(242,405)
"與"bounds: (263,390),(280,390),(280,405),(263,405)
"沙"bounds: (282,390),(293,390),(293,405),(282,405)
"魚"bounds: (295,390),(307,390),(307,405),(295,405)
"搏鬥"bounds: (309,390),(336,390),(336,405),(309,405)
"及"bounds: (338,390),(349,390),(349,405),(338,405)
"他"bounds: (351,390),(357,390),(357,405),(351,405)
"捕魚"bounds: (359,390),(387,390),(387,405),(359,405)
"的"bounds: (389,390),(397,390),(397,405),(389,405)
"經驗"bounds: (399,390),(429,390),(429,405),(399,405)
"讓"bounds: (431,390),(445,390),(445,405),(431,405)
"他"bounds: (447,390),(456,390),(456,405),(447,405)
"捕獲"bounds: (458,390),(483,390),(483,405),(458,405)
"了"bounds: (485,390),(496,390),(496,405),(485,405)
"一條"bounds: (498,390),(520,390),(520,405),(498,405)
"鯊魚"bounds: (67,406),(94,406),(94,419),(67,419)
"再"bounds: (96,406),(111,406),(111,419),(96,419)
"老人"bounds: (113,406),(136,406),(136,419),(113,419)
"回來"bounds: (138,406),(164,406),(164,419),(138,419)
"的"bounds: (166,406),(174,406),(174,419),(166,419)
"時候"bounds: (176,406),(204,406),(204,419),(176,419)
","bounds: (206,406),(206,406),(206,419),(206,419)
"鯊魚"bounds: (208,406),(232,406),(232,419),(208,419)
"肉"bounds: (234,406),(248,406),(248,419),(234,419)
"被"bounds: (250,406),(262,406),(262,419),(250,419)
"-"bounds: (264,406),(265,406),(265,419),(264,419)
"一個"bounds: (668,364),(688,364),(688,373),(668,373)
"人"bounds: (690,364),(711,364),(711,373),(690,373)
"並不是"bounds: (713,360),(753,360),(753,374),(713,374)
"天生"bounds: (755,360),(780,360),(780,374),(755,374)
"就要"bounds: (782,360),(808,360),(808,374),(782,374)
"被"bounds: (810,360),(820,360),(820,374),(810,374)
"打敗"bounds: (819,364),(830,364),(830,373),(819,373)
"的"bounds: (842,360),(858,360),(858,374),(842,374)
","bounds: (860,360),(860,360),(860,374),(860,374)
"你"bounds: (862,360),(875,360),(875,374),(862,374)
"盡"bounds: (877,360),(890,360),(890,374),(877,374)
"可以"bounds: (892,360),(915,360),(915,374),(892,374)
"消滅"bounds: (917,360),(938,360),(938,374),(917,374)
"他"bounds: (940,360),(955,360),(955,374),(940,374)
","bounds: (957,360),(958,360),(958,374),(957,374)
"卻"bounds: (960,360),(970,360),(970,374),(960,374)
"打"bounds: (972,360),(983,360),(983,374),(972,374)
"不敗"bounds: (985,360),(1013,360),(1013,374),(985,374)
"他"bounds: (1015,360),(1025,360),(1025,374),(1015,374)
"。"bounds: (1028,367),(1031,367),(1031,370),(1028,370)
"”"bounds: (1038,365),(1041,365),(1041,367),(1038,367)
"這"bounds: (1043,365),(1055,365),(1055,373),(1043,373)
"句話"bounds: (1057,364),(1082,364),(1082,373),(1057,373)
"出自"bounds: (1084,364),(1107,364),(1107,373),(1084,373)
"於"bounds: (1110,364),(1122,364),(1122,373),(1110,373)
"海明威"bounds: (664,376),(708,376),(708,390),(664,390)
"的"bounds: (710,376),(718,376),(718,390),(710,390)
"老人與海"bounds: (721,379),(772,379),(772,388),(721,388)
"。"bounds: (777,382),(780,382),(780,385),(777,385)
"這"bounds: (787,380),(800,380),(800,388),(787,388)
"句話"bounds: (802,379),(825,379),(825,388),(802,388)
"是"bounds: (827,379),(838,379),(838,388),(827,388)
"這"bounds: (840,376),(853,376),(853,390),(840,390)
"本書"bounds: (855,376),(880,376),(880,390),(855,390)
"的"bounds: (882,376),(890,376),(890,390),(882,390)
"精"bounds: (892,376),(908,376),(908,390),(892,390)
"苹"bounds: (910,376),(920,376),(920,390),(910,390)
","bounds: (922,376),(923,376),(923,390),(922,390)
"值得"bounds: (925,376),(950,376),(950,390),(925,390)
"人"bounds: (952,376),(963,376),(963,390),(952,390)
"深入"bounds: (963,379),(988,379),(988,388),(963,388)
"思考"bounds: (990,379),(1014,379),(1014,388),(990,388)
"。e"bounds: (1020,382),(1035,382),(1035,385),(1020,385)
"本書"bounds: (666,391),(695,391),(695,404),(666,404)
"講述"bounds: (697,391),(721,391),(721,404),(697,404)
"了"bounds: (723,391),(733,391),(733,404),(723,404)
"老人"bounds: (735,391),(758,391),(758,404),(735,404)
"聖地牙哥"bounds: (760,391),(812,391),(812,404),(760,404)
"經過"bounds: (814,391),(833,391),(833,404),(814,404)
"過"bounds: (835,391),(838,391),(838,404),(835,404)
"數次"bounds: (840,391),(868,391),(868,404),(840,404)
"與"bounds: (870,391),(880,391),(880,404),(870,404)
"沙"bounds: (882,391),(894,391),(894,404),(882,404)
"魚"bounds: (896,391),(908,391),(908,404),(896,404)
"搏"bounds: (910,391),(919,391),(919,404),(910,404)
"門"bounds: (921,391),(933,391),(933,404),(921,404)
"及"bounds: (935,391),(950,391),(950,404),(935,404)
"他"bounds: (952,391),(961,391),(961,404),(952,404)
"捕魚"bounds: (963,391),(985,391),(985,404),(963,404)
"的"bounds: (987,391),(996,391),(996,404),(987,404)
"經驗"bounds: (998,391),(1031,391),(1031,404),(998,404)
"讓"bounds: (1033,391),(1045,391),(1045,404),(1033,404)
"他"bounds: (1047,391),(1055,391),(1055,404),(1047,404)
"捕獲"bounds: (1057,391),(1083,391),(1083,404),(1057,404)
"了"bounds: (1085,391),(1092,391),(1092,404),(1085,404)
"一條"bounds: (1094,391),(1120,391),(1120,404),(1094,404)
"鯊魚"bounds: (666,406),(693,406),(693,419),(666,419)
"再"bounds: (695,406),(709,406),(709,419),(695,419)
"老人"bounds: (711,406),(735,406),(735,419),(711,419)
"回來"bounds: (737,406),(765,406),(765,419),(737,419)
"的"bounds: (767,406),(775,406),(775,419),(767,419)
"時候"bounds: (777,406),(805,406),(805,419),(777,419)
","bounds: (807,406),(807,406),(807,419),(807,419)
"鯊魚"bounds: (809,406),(833,406),(833,419),(809,419)
"肉"bounds: (835,406),(845,406),(845,419),(835,419)
"背鰭"bounds: (847,406),(875,406),(875,419),(847,419)
"。"bounds: (877,406),(880,406),(880,419),(877,419)
"|"bounds: (882,406),(887,406),(887,419),(882,419)
